seed,spec_floor,recall_floor,w_hgb,w_et,w_global_et,threshold_50s,threshold_75s,threshold_100s,threshold_150s,threshold_250s,threshold_400s,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s,model
73,0.92,0.88,0.25,0.0,0.75,0.85,0.78,0.75,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
88,0.92,0.88,0.75,0.25,0.0,0.85,0.9,0.97,0.85,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
91,0.92,0.88,0.0,0.75,0.25,0.85,0.78,0.65,0.65,0.65,0.65,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
97,0.92,0.88,0.25,0.0,0.75,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
102,0.92,0.88,0.25,0.25,0.5,0.85,0.78,0.65,0.65,0.85,0.85,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
110,0.92,0.88,0.25,0.0,0.75,0.94,0.78,0.65,0.65,0.55,0.55,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
113,0.92,0.88,0.5,0.0,0.5,0.85,0.78,0.85,0.75,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
114,0.92,0.88,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,0.9130434782608695,1.0,0.8823529411764706,1.0,0.9375,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
119,0.92,0.88,0.5,0.25,0.25,0.85,0.9,0.97,0.92,0.85,0.85,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
130,0.92,0.88,0.0,0.25,0.75,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
131,0.92,0.88,0.75,0.0,0.25,0.85,0.85,0.92,0.92,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
145,0.92,0.88,0.75,0.0,0.25,0.85,0.78,0.85,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
160,0.92,0.88,0.25,0.0,0.75,0.85,0.78,0.65,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
170,0.92,0.88,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.65,0.65,0.9565217391304348,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
188,0.92,0.88,0.5,0.0,0.5,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
208,0.92,0.88,0.5,0.0,0.5,0.97,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
240,0.92,0.88,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
244,0.92,0.88,0.0,0.0,1.0,0.85,0.78,0.85,0.75,0.55,0.55,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0.0,0.0,3.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
261,0.92,0.88,0.5,0.0,0.5,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
269,0.92,0.88,0.75,0.25,0.0,0.85,0.9,0.97,0.97,0.94,0.94,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
275,0.92,0.88,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,0.9130434782608695,1.0,0.8823529411764706,1.0,0.9375,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
289,0.92,0.88,0.25,0.0,0.75,0.94,0.78,0.75,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.92_recall0.88
0,0.94,0.84,0.25,0.25,0.5,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
4,0.94,0.84,0.5,0.0,0.5,0.85,0.85,0.85,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
7,0.94,0.84,0.25,0.0,0.75,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
20,0.94,0.84,0.75,0.25,0.0,0.85,0.78,0.85,0.85,0.85,0.85,0.9130434782608695,1.0,0.8823529411764706,1.0,0.9375,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
33,0.94,0.84,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
55,0.94,0.84,0.25,0.0,0.75,0.9,0.78,0.75,0.65,0.65,0.65,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
69,0.94,0.84,0.75,0.0,0.25,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
72,0.94,0.84,0.25,0.0,0.75,0.94,0.78,0.65,0.65,0.55,0.55,0.9583333333333334,0.9473684210526315,1.0,0.8333333333333334,0.972972972972973,0.0,1.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
73,0.94,0.84,0.25,0.0,0.75,0.85,0.78,0.75,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
88,0.94,0.84,0.75,0.25,0.0,0.85,0.9,0.97,0.85,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
91,0.94,0.84,0.0,0.75,0.25,0.85,0.78,0.65,0.65,0.65,0.65,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
97,0.94,0.84,0.25,0.0,0.75,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
102,0.94,0.84,0.25,0.25,0.5,0.85,0.78,0.65,0.65,0.85,0.85,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
110,0.94,0.84,0.25,0.0,0.75,0.94,0.78,0.65,0.65,0.55,0.55,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
113,0.94,0.84,0.5,0.0,0.5,0.85,0.78,0.85,0.75,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
114,0.94,0.84,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,0.9130434782608695,1.0,0.8823529411764706,1.0,0.9375,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
119,0.94,0.84,0.5,0.25,0.25,0.85,0.9,0.97,0.92,0.85,0.85,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0.0,0.0,2.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
130,0.94,0.84,0.0,0.25,0.75,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
