accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin,base_margin,adder
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,q95_alpha0.10_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,q95_alpha0.10_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q95_alpha0.10_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q95_alpha0.10_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,q95_alpha0.10_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,q95_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,conformal_alpha0.10_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,conformal_alpha0.10_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,conformal_alpha0.10_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,conformal_alpha0.10_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,conformal_alpha0.10_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,conformal_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,max_alpha0.10_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,max_alpha0.10_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,max_alpha0.10_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,max_alpha0.10_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,max_alpha0.10_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,max_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,q90_alpha0.05_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,q90_alpha0.05_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q90_alpha0.05_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q90_alpha0.05_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,q90_alpha0.05_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,q90_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q95_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,q95_alpha0.05_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,q95_alpha0.05_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q95_alpha0.05_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,q95_alpha0.05_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,q95_alpha0.05_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,q95_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,conformal_alpha0.05_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,conformal_alpha0.05_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,conformal_alpha0.05_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,conformal_alpha0.05_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,conformal_alpha0.05_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,conformal_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,247.5000000000001,0,max_alpha0.05_add0.005,0.005,0.0,0.005
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,149.99999999999977,0,max_alpha0.05_add0.010,0.01,0.0,0.01
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,max_alpha0.05_add0.020,0.02,0.0,0.02
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,240.0,0,max_alpha0.05_add0.030,0.03,0.0,0.03
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,112.49999999999979,0,max_alpha0.05_add0.050,0.05,0.0,0.05
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,65.0,160.01499999999987,0,max_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.010,0.01,0.0,0.01
